island,site,date,type,number,result,ground
rota,calvo,18-Jul-13,disturbed,147,0,n
rota,calvo,18-Jul-13,disturbed,148,0,n
rota,calvo,18-Jul-13,disturbed,149,0,n
rota,calvo,18-Jul-13,disturbed,150,0,n
saipan,ladtd,3-Jul-13,disturbed,1,0,n
saipan,ladtd,3-Jul-13,disturbed,2,0,n
saipan,ladtd,3-Jul-13,disturbed,3,0,n
saipan,ladtd,3-Jul-13,disturbed,5,0,n
saipan,ladtd,3-Jul-13,disturbed,7,0,n
saipan,ladtd,3-Jul-13,disturbed,8,0,n
saipan,ladtd,3-Jul-13,disturbed,9,0,n
saipan,ladtd,3-Jul-13,disturbed,10,0,n
saipan,ladtd,3-Jul-13,disturbed,11,0,n
saipan,ladtd,3-Jul-13,disturbed,12,0,n
saipan,ladtd,3-Jul-13,disturbed,13,0,n
saipan,ladtd,3-Jul-13,disturbed,14,0,n
saipan,ladtd,3-Jul-13,disturbed,19,0,n
saipan,ladtd,3-Jul-13,disturbed,22,0,n
saipan,ladtd,3-Jul-13,disturbed,24,0,n
saipan,ladtd,3-Jul-13,disturbed,26,0,n
saipan,ladtd,3-Jul-13,disturbed,27,0,n
saipan,ladtd,3-Jul-13,disturbed,29,0,n
saipan,ladtd,3-Jul-13,disturbed,30,0,n
saipan,ladtd,3-Jul-13,disturbed,31,0,n
saipan,ladtd,3-Jul-13,disturbed,32,0,n
saipan,ladtd,3-Jul-13,disturbed,33,0,n
saipan,ladtd,3-Jul-13,disturbed,34,0,n
saipan,ladtd,3-Jul-13,disturbed,35,0,n
saipan,ladtd,3-Jul-13,disturbed,36,0,n
saipan,ladtd,3-Jul-13,disturbed,37,0,n
saipan,ladtd,3-Jul-13,disturbed,42,0,n
saipan,ladtd,3-Jul-13,disturbed,44,0,n
saipan,ladtd,3-Jul-13,disturbed,46,0,n
saipan,ladtd,3-Jul-13,disturbed,47,0,n
saipan,ladtd,3-Jul-13,disturbed,49,0,n
saipan,ladtd,3-Jul-13,disturbed,50,0,n
saipan,ladtd,3-Jul-13,disturbed,52,0,n
saipan,ladtd,3-Jul-13,disturbed,53,0,n
saipan,ladtd,3-Jul-13,disturbed,54,0,n
saipan,ladtd,3-Jul-13,disturbed,55,0,n
saipan,ladtd,3-Jul-13,disturbed,56,0,n
saipan,ladtd,3-Jul-13,disturbed,60,0,n
saipan,ladtd,3-Jul-13,disturbed,63,0,n
saipan,ladtd,3-Jul-13,disturbed,67,0,n
saipan,ladtd,3-Jul-13,disturbed,68,0,n
saipan,ladtd,3-Jul-13,disturbed,69,0,n
saipan,ladtd,3-Jul-13,disturbed,70,0,n
saipan,ladtd,3-Jul-13,disturbed,71,0,n
