island,site,date,type,number,result,ground,predation
rota,calvo,18-Jul-13,disturbed,25,n,n,0
rota,calvo,18-Jul-13,disturbed,27,n,n,0
rota,calvo,18-Jul-13,disturbed,28,n,n,0
rota,calvo,18-Jul-13,disturbed,30,n,n,0
rota,calvo,18-Jul-13,disturbed,32,n,n,0
rota,calvo,18-Jul-13,disturbed,33,n,n,0
rota,calvo,18-Jul-13,disturbed,34,n,n,0
rota,calvo,18-Jul-13,disturbed,35,n,n,0
rota,calvo,18-Jul-13,disturbed,36,n,n,0
rota,calvo,18-Jul-13,disturbed,37,n,n,0
rota,calvo,18-Jul-13,disturbed,38,n,n,0
rota,calvo,18-Jul-13,disturbed,39,n,n,0
rota,calvo,18-Jul-13,disturbed,40,n,n,0
rota,calvo,18-Jul-13,disturbed,41,n,n,0
rota,calvo,18-Jul-13,disturbed,42,n,n,0
rota,calvo,18-Jul-13,disturbed,46,n,n,0
rota,calvo,18-Jul-13,disturbed,47,n,n,0
rota,calvo,18-Jul-13,disturbed,48,n,n,0
rota,calvo,18-Jul-13,disturbed,49,n,n,0
rota,calvo,18-Jul-13,disturbed,50,n,n,0
rota,calvo,18-Jul-13,disturbed,51,n,n,0
rota,calvo,18-Jul-13,disturbed,52,n,n,0
rota,calvo,18-Jul-13,disturbed,53,n,n,0
rota,calvo,18-Jul-13,disturbed,54,n,n,0
rota,calvo,18-Jul-13,disturbed,55,n,n,0
rota,calvo,18-Jul-13,disturbed,56,n,n,0
rota,calvo,18-Jul-13,disturbed,57,n,n,0
rota,calvo,18-Jul-13,disturbed,58,n,n,0
rota,calvo,18-Jul-13,disturbed,59,n,n,0
rota,calvo,18-Jul-13,disturbed,60,n,n,0
rota,calvo,18-Jul-13,disturbed,62,n,n,0
rota,calvo,18-Jul-13,disturbed,63,n,n,0
rota,calvo,18-Jul-13,disturbed,64,n,n,0
rota,calvo,18-Jul-13,disturbed,65,n,n,0
rota,calvo,18-Jul-13,disturbed,66,n,n,0
rota,calvo,18-Jul-13,disturbed,67,n,n,0
rota,calvo,18-Jul-13,disturbed,69,n,n,0
rota,calvo,18-Jul-13,disturbed,70,n,n,0
